 0.01720209895D0
 3498.790D0
 28.0512D0 169.5291D0
   0.1577287066246D+08   0.6666666666667D+07   0.9433962264151D+06   0.5094243504840D+06   0.2314814814815D+06   0.4225863977890D+04   0.3333333333333D+08   0.3225806451613D+06   0.2858130953844D-03
   0.6667061728782D+01   0.4585536751534D+01   0.3328306445055D+01   0.2295717646433D+01   0.1390853715957D+01   0.3940425676910D+00   0.2953088138695D+00   0.7920197763193D-01   0.5839811452566D-03
    1    1
   20   0.9194949884833879D-05   0.1318235458535180D+01   0.1131657921775265D+00  0  0  0  0  0  0  0  0
   21   0.8037140287447099D-05   0.5556769190259295D+00   0.5079494734209352D+01  0  0  0  0  0  0  0  0
   22   0.7218512993756520D-05   0.3808601016232069D+01   0.2094827489888461D+00  0  0  0  0  0  0  0  0
   23   0.6001489632871980D-05   0.2305239035215433D+01   0.5021841352532276D+01  0  0  0  0  0  0  0  0
   24   0.5489567383712060D-05   0.5363389816540173D+00   0.5199932106309558D+01  0  0  0  0  0  0  0  0
   25   0.4021385382444620D-05   0.4239927673886392D+01   0.3866357513424390D-01  0  0  0  0  0  0  0  0
   26   0.3767845663771360D-05   0.3010923272601534D+01   0.4990449357320712D+01  0  0  0  0  0  0  0  0
   27   0.3600130988680400D-05   0.1242023219040118D+01   0.5168540111097993D+01  0  0  0  0  0  0  0  0
   28   0.3094782117290198D-05   0.1804019257682701D+01   0.7271579922679017D-02  0  0  0  0  0  0  0  0
 9998  0  0  0  0  0  0  0  0  0  0  0
   29   0.2857487995253398D-04   0.1029186337468635D+00   0.3771530586966294D+03  0  0  1 -1  0  0  0  0
   30   0.2612226809076254D-04   0.3347429921083522D+01   0.7543061173932588D+03  0  0  2 -2  0  0  0  0
   31   0.1309044788609482D-04   0.3087559012405942D+00   0.1131459176089888D+04  0  0  3 -3  0  0  0  0
   32   0.1086312362376316D-04   0.3746226045578181D+01   0.2143479763541216D+04  0  0  2  0  0 -2  0  0
   33   0.9634177151388563D-05   0.3197170586335357D+01   0.8366732729211768D+02  0  1 -2  1  0  0  0  0
   34   0.7589604761197260D-05   0.3553267188577251D+01   0.1508612234786518D+04  0  0  4 -4  0  0  0  0
   35   0.5706936513245540D-05   0.1177133183021748D+01   0.1415309217766697D+04  0  0  2  0 -2  0  0  0
   36   0.4749981493034660D-05   0.5145931687343214D+00   0.1885765293483147D+04  0  0  5 -5  0  0  0  0
   37   0.4252829449661740D-05   0.2159362918305770D+01   0.7076546088833486D+03  0  0  1  0 -1  0  0  0
   38   0.4209916715651780D-05   0.1843847991166901D+01   0.4592033694415193D+03  0  1 -1  0  0  0  0  0
   39   0.3381153874922860D-05   0.3443909349583986D+01   0.1071739881770608D+04  0  0  1  0  0 -1  0  0
   40   0.3367826063379420D-05   0.3687695982333802D+01   0.9184067388830385D+03  0  2 -2  0  0  0  0  0
 9999  0  0  0  0  0  0  0  0  0  0  0
    3    3
    1   0.1564767415994558D-03   0.4568461127222154D+01   0.1263056409088354D+01 -1  0  2  0  0  0  0  0
    2   0.8681007704489939D-04   0.7405221736181721D+00   0.1174011032199713D+01 -1  0  2  0  0  0  0  0
    3   0.8168879255357250D-04   0.5941153727250531D+01   0.1441147162865635D+01 -1  0  2  0  0  0  0  0
    4   0.8101165266469901D-04   0.3195768527193775D+01   0.1084965655311073D+01 -1  0  2  0  0  0  0  0
    5   0.7081435508752854D-04   0.5254807427236342D+01   0.1352101785976995D+01 -1  0  2  0  0  0  0  0
    6   0.2463670320328344D-04   0.2681979744993623D+01   0.8933864296234374D-02  0  0  0  0  0  0  0  0
    7   0.1795872905935810D-04   0.3443147200851330D+00   0.1530192539754276D+01 -1  0  2  0  0  0  0  0
    8   0.1765915793094640D-04   0.5651014880769380D+01   0.9959202784224322D+00 -1  0  2  0  0  0  0  0
    9   0.1379536465955919D-04   0.4874775170004872D+01   0.5374256741709729D+00  0 -1  0  2  0  0  0  0
   10   0.6448693043220393D-05   0.8713108941844011D+00  -0.3816438325120998D+01 -1  0  2  0  0  0  0  0
   11   0.4134187193316490D-05   0.3483793623207228D-01   0.1205403027411278D+01 -1  0  2  0  0  0  0  0
   12   0.4064250964938940D-05   0.5960491664622441D+01   0.1320709790765430D+01 -1  0  2  0  0  0  0  0
   13   0.3921367852619880D-05   0.1030661020099323D+01   0.1619237916642916D+01 -1  0  2  0  0  0  0  0
   14   0.3847793440490170D-05   0.1823075927165398D+01   0.9068749015337917D+00 -1  0  2  0  0  0  0  0
 9998  0  0  0  0  0  0  0  0  0  0  0
   15   0.1026432488829525D-02   0.5239109003991030D+01   0.1215663929056177D+04  0  0  1  0  0  0  0  0
   16   0.4858676635900159D-04   0.4930353102750437D+01   0.8420475296628865D+02  0  0 -2  3  0  0  0  0
   17   0.1316230344933185D-04   0.9203831673794880D+00  -0.1996452887105200D+03  0  0 -1  0  2  0  0  0
   18   0.1274174154891934D-04   0.4827434469003571D+01  -0.2929483057303405D+03  0  0 -3  4  0  0  0  0
   19   0.1012648120942390D-04   0.4634475612002642D+01  -0.9278158344850386D+03  0  0 -1  0  0  2  0  0
   20   0.9537957898915770D-05   0.1891679082907508D+01   0.4613578116629183D+03  0  0 -1  2  0  0  0  0
   21   0.6736048525042149D-05   0.1795199654407042D+01   0.1439240472855692D+03  0  0  0  0  0  1  0  0
   22   0.4893120486700722D-05   0.1582923181666916D+01  -0.6701013644269697D+03  0  0 -4  5  0  0  0  0
   23   0.4496122761411780D-05   0.2849157684080121D+01  -0.1619461792683805D+03  0 -3  4  0  0  0  0  0
 9999  0  0  0  0  0  0  0  0  0  0  0
    3    4
    1   0.1608815757672211D-04   0.3221506193392377D+01   0.0000000000000000D+00  0  0  0  0  0  0  0  0
    2   0.7978986672131195D-02   0.3937780549016139D+01  -0.1260994960410540D+01 -1  0  2  0  0  0  0  0
    3   0.3586811056529552D-02   0.1098415954121576D+00  -0.1350040337299180D+01 -1  0  2  0  0  0  0  0
    4   0.3578626570900766D-02   0.4624126849030327D+01  -0.1171949583521899D+01 -1  0  2  0  0  0  0  0
    5   0.7456079964789274D-03   0.2565087948987761D+01  -0.1439085714187821D+01 -1  0  2  0  0  0  0  0
    6   0.7269088792971872D-03   0.5310473149044516D+01  -0.1082904206633259D+01 -1  0  2  0  0  0  0  0
    7   0.1634061837956512D-03   0.5996819449058704D+01  -0.9938588297446179D+00 -1  0  2  0  0  0  0  0
    8   0.1629278673196500D-03   0.5020334302563366D+01  -0.1528131091076462D+01 -1  0  2  0  0  0  0  0
    9   0.3863423686243950D-04   0.5329811086416426D+01  -0.1203341578733464D+01 -1  0  2  0  0  0  0  0
   10   0.3696660017446820D-04   0.3999804418933084D+00  -0.9048134528559774D+00 -1  0  2  0  0  0  0  0
   11   0.3605229442958720D-04   0.1192395348959384D+01  -0.1617176467965102D+01 -1  0  2  0  0  0  0  0
   12   0.3003084312634590D-04   0.7768499580544321D+00  -0.1140557588310333D+01 -1  0  2  0  0  0  0  0
   13   0.2358139037174070D-04   0.5687342665205642D+01  -0.1318648342087615D+01 -1  0  2  0  0  0  0  0
   14   0.1853853482238710D-04   0.9050365804024403D-01  -0.1229602965198974D+01 -1  0  2  0  0  0  0  0
   15   0.1598764340805630D-04   0.3957118486388051D+01  -0.1381432332510745D+01 -1  0  2  0  0  0  0  0
   16   0.1403252488381090D-04   0.4869684344257474D+01  -0.1145864800396349D+02 -1  0  2  0  0  0  0  0
   17   0.1348141163501630D-04   0.1859403711601660D+01  -0.1407693718976255D+01 -1  0  2  0  0  0  0  0
   18   0.1307143245256740D-04   0.6016157386430616D+01  -0.1114296201844823D+01 -1  0  2  0  0  0  0  0
   19   0.1026902134395760D-04   0.4643464786402239D+01  -0.1292386955622105D+01 -1  0  2  0  0  0  0  0
   20   0.1001531421510340D-04   0.1463196258068622D+01  -0.1051512211421693D+01 -1  0  2  0  0  0  0  0
